county_fips,NAICS_CODE,sector_flag,establishments,nonemployers,is_target_sector
34013,54193,,4.0,99.0,False
34013,541930,,4.0,,False
34013,54194,,39.0,26.0,False
34013,541940,,39.0,,False
34013,54199,,48.0,2785.0,False
34013,541990,,48.0,,False
34013,55,,65.0,,False
34013,551,,65.0,,False
34013,5511,,65.0,,False
34013,55111,,65.0,,False
34013,551112,,11.0,,False
34013,551114,,53.0,,False
34013,56,,941.0,5744.0,False
34013,561,,877.0,5708.0,False
34013,5611,,76.0,713.0,False
34013,56111,,76.0,713.0,False
34013,561110,,76.0,,False
34013,5612,,19.0,47.0,False
34013,56121,,19.0,47.0,False
34013,561210,,19.0,,False
34013,5613,,91.0,80.0,False
34013,56131,,35.0,,False
34013,561311,,22.0,,False
34013,561312,,13.0,,False
34013,56132,,50.0,,False
34013,561320,,50.0,,False
34013,56133,,6.0,,False
34013,561330,,6.0,,False
34013,5614,,52.0,638.0,False
34013,56141,,8.0,323.0,False
34013,561410,,8.0,,False
34013,56142,,6.0,82.0,False
34013,561422,,5.0,,False
34013,56143,,17.0,56.0,False
34013,561431,,9.0,,False
34013,561439,,8.0,,False
34013,56144,,9.0,4.0,False
34013,561440,,9.0,,False
34013,56145,,,4.0,False
34013,56149,,10.0,169.0,False
34013,561492,,5.0,,False
34013,561499,,5.0,,False
34013,5615,,50.0,153.0,False
34013,56151,,40.0,,False
34013,561510,,40.0,,False
34013,56152,,7.0,,False
34013,561520,,7.0,,False
34013,56159,,3.0,,False
34013,561599,,3.0,,False
34013,5616,,70.0,279.0,False
34013,56161,,49.0,,False
34013,561611,,10.0,,False
34013,561612,,38.0,,False
34013,56162,,21.0,,False
34013,561621,,15.0,,False
34013,561622,,6.0,,False
34013,5617,,459.0,3481.0,False
34013,56171,,29.0,22.0,False
34013,561710,,29.0,,False
34013,56172,,146.0,2689.0,False
34013,561720,,146.0,,False
34013,56173,,238.0,425.0,False
34013,561730,,238.0,,False
34013,56174,,11.0,64.0,False
34013,561740,,11.0,,False
34013,56179,,35.0,281.0,False
34013,561790,,35.0,,False
34013,5619,,60.0,317.0,False
34013,56191,,11.0,,False
34013,561910,,11.0,,False
34013,56192,,25.0,,False
34013,561920,,25.0,,False
34013,56199,,24.0,,False
34013,561990,,24.0,,False
34013,562,,64.0,36.0,False
34013,5621,,41.0,,False
34013,56211,,41.0,,False
34013,562111,,34.0,,False
34013,562112,,3.0,,False
34013,562119,,4.0,,False
34013,5622,,3.0,,False
34013,56221,,3.0,,False
34013,5629,,20.0,,False
34013,56291,,13.0,,False
34013,562910,,13.0,,False
34013,56292,,4.0,,False
34013,562920,,4.0,,False
34013,56299,,3.0,,False
34013,562998,,3.0,,False
34013,61,,364.0,2541.0,False
34013,611,,364.0,2541.0,False
34013,6111,,79.0,,False
34013,61111,,79.0,,False
34013,611110,,79.0,,False
34013,6113,,14.0,,False
34013,61131,,14.0,,False
34013,611310,,14.0,,False
34013,6114,,18.0,,False
34013,61142,,7.0,,False
34013,611420,,7.0,,False
34013,61143,,11.0,,False
34013,611430,,11.0,,False
34013,6115,,23.0,,False
34013,61151,,23.0,,False
34013,611512,,3.0,,False
34013,611519,,16.0,,False
34013,6116,,190.0,,False
34013,61161,,55.0,,False
34013,611610,,55.0,,False
34013,61162,,52.0,,False
34013,611620,,52.0,,False
34013,61163,,11.0,,False
34013,611630,,11.0,,False
34013,61169,,72.0,,False
34013,611691,,49.0,,False
34013,611692,,5.0,,False
34013,611699,,18.0,,False
34013,6117,,39.0,,False
34013,61171,,39.0,,False
34013,611710,,39.0,,False
34013,62,,2638.0,7586.0,False
34013,621,,1941.0,4144.0,False
34013,6211,,743.0,776.0,False
34013,62111,,743.0,776.0,False
34013,621111,,694.0,543.0,False
34013,621112,,49.0,233.0,False
34013,6212,,385.0,149.0,False
34013,62121,,385.0,149.0,False
34013,621210,,385.0,,False
34013,6213,,458.0,1949.0,False
34013,62131,,89.0,65.0,False
34013,621310,,89.0,,False
34013,62132,,35.0,36.0,False
34013,621320,,35.0,,False
34013,62133,,102.0,820.0,False
34013,621330,,102.0,,False
34013,62134,,146.0,425.0,False
34013,621340,,146.0,,False
34013,62139,,86.0,603.0,False
34013,621391,,34.0,21.0,False
34013,621399,,52.0,582.0,False
34013,6214,,154.0,64.0,False
34013,62141,,14.0,,False
34013,621410,,14.0,,False
34013,62142,,34.0,,False
34013,621420,,34.0,,False
34013,62149,,106.0,,False
34013,621492,,30.0,,False
34013,621493,,30.0,,False
34013,621498,,46.0,,False
34013,6215,,66.0,61.0,False
34013,62151,,66.0,61.0,False
34013,621511,,46.0,,False
34013,621512,,20.0,,False
34013,6216,,97.0,1029.0,False
34013,62161,,97.0,1029.0,False
34013,621610,,97.0,,False
34013,6219,,38.0,116.0,False
34013,62191,,14.0,,False
34013,621910,,14.0,,False
34013,62199,,24.0,,False
34013,621999,,24.0,,False
34013,622,,11.0,,False
34013,6221,,8.0,,False
34013,62211,,8.0,,False
34013,622110,,8.0,,False
34013,623,,154.0,318.0,False
34013,6231,,41.0,,False
34013,62311,,41.0,,False
34013,623110,,41.0,,False
34013,6232,,70.0,,False
34013,62321,,55.0,,False
34013,623210,,55.0,,False
34013,62322,,15.0,,False
34013,623220,,15.0,,False
34013,6233,,32.0,,False
34013,62331,,32.0,,False
34013,623311,,7.0,,False
34013,623312,,25.0,,False
34013,6239,,11.0,,False
34013,62399,,11.0,,False
34013,623990,,11.0,,False
34013,624,,532.0,3124.0,False
34013,6241,,220.0,671.0,False
34013,62411,,43.0,,False
34013,624110,,43.0,,False
34013,62412,,79.0,,False
34013,624120,,79.0,,False
34013,62419,,98.0,,False
34013,624190,,98.0,,False
34013,6242,,38.0,32.0,False
34013,62421,,7.0,,False
34013,624210,,7.0,,False
34013,62422,,27.0,,False
34013,624221,,16.0,,False
34013,624229,,11.0,,False
34013,62423,,4.0,,False
34013,624230,,4.0,,False
34013,6243,,9.0,38.0,False
34013,62431,,9.0,38.0,False
34013,624310,,9.0,,False
34013,6244,,265.0,2383.0,False
34013,62441,,265.0,2383.0,False
34013,624410,,265.0,,False
34013,71,,353.0,4560.0,False
34013,711,,181.0,4259.0,False
34013,7111,,32.0,264.0,False
34013,71111,,9.0,,False
34013,711110,,9.0,,False
34013,71113,,17.0,,False
34013,711130,,17.0,,False
34013,71119,,4.0,,False
34013,711190,,4.0,,False
34013,7112,,7.0,312.0,False
34013,71121,,7.0,312.0,False
34013,711211,,4.0,,False
34013,711219,,3.0,,False
34013,7113,,17.0,386.0,False
34013,71131,,7.0,,False
34013,711310,,7.0,,False
34013,71132,,10.0,,False
34013,711320,,10.0,,False
34013,7114,,15.0,162.0,False
34013,71141,,15.0,162.0,False
34013,711410,,15.0,,False
34013,7115,,110.0,3135.0,False
34013,71151,,110.0,3135.0,False
34013,711510,,110.0,,False
34013,712,,10.0,8.0,False
34013,7121,,10.0,8.0,False
34013,71211,,6.0,,False
34013,712110,,6.0,,False
34013,713,,162.0,293.0,False
34013,7131,,5.0,4.0,False
34013,71312,,5.0,,False
34013,713120,,5.0,,False
34013,7132,,,36.0,False
34013,7139,,157.0,253.0,False
34013,71391,,9.0,,False
34013,713910,,9.0,,False
34013,71394,,107.0,,False
34013,713940,,107.0,,False
34013,71399,,40.0,,False
34013,713990,,40.0,,False
34013,72,Food Services,1808.0,1856.0,True
34013,721,Food Services,40.0,162.0,True
34013,7211,Food Services,33.0,110.0,True
34013,72111,Food Services,33.0,,True
34013,721110,Food Services,33.0,,True
34013,7212,Food Services,5.0,7.0,True
34013,72121,Food Services,5.0,7.0,True
34013,721214,Food Services,4.0,,True
34013,7213,Food Services,,45.0,True
34013,72131,Food Services,,45.0,True
34013,722,Food Services,1768.0,1694.0,True
34013,7223,Food Services,231.0,1123.0,True
34013,72231,Food Services,161.0,,True
34013,722310,Food Services,161.0,,True
34013,72232,Food Services,46.0,,True
34013,722320,Food Services,46.0,,True
34013,72233,Food Services,24.0,,True
34013,722330,Food Services,24.0,,True
34013,7224,Food Services,77.0,69.0,True
34013,72241,Food Services,77.0,69.0,True
34013,722410,Food Services,77.0,,True
34013,7225,Food Services,1460.0,502.0,True
34013,72251,Food Services,1460.0,502.0,True
34013,722511,Food Services,622.0,233.0,True
34013,722513,Food Services,626.0,165.0,True
34013,722514,Food Services,8.0,55.0,True
34013,722515,Food Services,204.0,49.0,True
34013,81,,2150.0,7258.0,False
34013,811,,520.0,907.0,False
34013,8111,,441.0,604.0,False
34013,81111,,249.0,368.0,False
34013,811111,,228.0,,False
34013,811112,,3.0,,False
34013,811113,,7.0,,False
34013,811118,,11.0,,False
34013,81112,,113.0,90.0,False
34013,811121,,100.0,,False
34013,811122,,13.0,,False
