NAME,NAICS_CODE,ESTAB,LFO,EMPSZES,state,county,county_fips,sector_flag
"Queens County, New York",424470,44,001,001,36,081,36081,
"Queens County, New York",42448,92,001,001,36,081,36081,
"Queens County, New York",424480,92,001,001,36,081,36081,
"Queens County, New York",4245,9,001,001,36,081,36081,
"Queens County, New York",42451,3,001,001,36,081,36081,
"Queens County, New York",424510,3,001,001,36,081,36081,
"Queens County, New York",42459,5,001,001,36,081,36081,
"Queens County, New York",424590,5,001,001,36,081,36081,
"Queens County, New York",4246,24,001,001,36,081,36081,
"Queens County, New York",42461,4,001,001,36,081,36081,
"Queens County, New York",424610,4,001,001,36,081,36081,
"Queens County, New York",42469,20,001,001,36,081,36081,
"Queens County, New York",424710,4,001,001,36,081,36081,
"Queens County, New York",42472,4,001,001,36,081,36081,
"Queens County, New York",424720,4,001,001,36,081,36081,
"Queens County, New York",4248,39,001,001,36,081,36081,
"Queens County, New York",42482,17,001,001,36,081,36081,
"Queens County, New York",42449,220,001,001,36,081,36081,
"Queens County, New York",424490,220,001,001,36,081,36081,
"Queens County, New York",424690,20,001,001,36,081,36081,
"Queens County, New York",4247,8,001,001,36,081,36081,
"Queens County, New York",42471,4,001,001,36,081,36081,
"Queens County, New York",42481,22,001,001,36,081,36081,
"Queens County, New York",424810,22,001,001,36,081,36081,
"Queens County, New York",424820,17,001,001,36,081,36081,
"Queens County, New York",4249,309,001,001,36,081,36081,
"Queens County, New York",42491,7,001,001,36,081,36081,
"Queens County, New York",424910,7,001,001,36,081,36081,
"Queens County, New York",42492,14,001,001,36,081,36081,
"Queens County, New York",424920,14,001,001,36,081,36081,
"Queens County, New York",42493,61,001,001,36,081,36081,
"Queens County, New York",424930,61,001,001,36,081,36081,
"Queens County, New York",42494,13,001,001,36,081,36081,
"Queens County, New York",424940,13,001,001,36,081,36081,
"Queens County, New York",42495,10,001,001,36,081,36081,
"Queens County, New York",424950,10,001,001,36,081,36081,
"Queens County, New York",42499,204,001,001,36,081,36081,
"Queens County, New York",424990,204,001,001,36,081,36081,
"Queens County, New York",425,251,001,001,36,081,36081,
"Queens County, New York",4251,251,001,001,36,081,36081,
"Queens County, New York",42511,6,001,001,36,081,36081,
"Queens County, New York",425110,6,001,001,36,081,36081,
"Queens County, New York",42512,245,001,001,36,081,36081,
"Queens County, New York",425120,245,001,001,36,081,36081,
"Queens County, New York",44-45,7348,001,001,36,081,36081,Retail Trade
"Queens County, New York",441,271,001,001,36,081,36081,
"Queens County, New York",441228,15,001,001,36,081,36081,
"Queens County, New York",4411,112,001,001,36,081,36081,
"Queens County, New York",44111,47,001,001,36,081,36081,
"Queens County, New York",441110,47,001,001,36,081,36081,
"Queens County, New York",44112,65,001,001,36,081,36081,
"Queens County, New York",441120,65,001,001,36,081,36081,
"Queens County, New York",4412,17,001,001,36,081,36081,
"Queens County, New York",44122,17,001,001,36,081,36081,
"Queens County, New York",4413,142,001,001,36,081,36081,
"Queens County, New York",44131,100,001,001,36,081,36081,
"Queens County, New York",441310,100,001,001,36,081,36081,
"Queens County, New York",44132,42,001,001,36,081,36081,
"Queens County, New York",441320,42,001,001,36,081,36081,
