STATE,PUMA,PWGTP,AGEP,SEX,RAC1P,HISP,NATIVITY,ANC1P,ANC2P,SCHL,ESR,PINCP
12,09903,458,54,1,9,1,2,370,999,19.0,1.0,103000.0
12,01113,215,38,1,8,1,2,370,999,16.0,1.0,19000.0
12,01113,216,22,2,8,1,2,370,999,1.0,6.0,0.0
12,01113,213,3,1,8,1,1,370,999,1.0,,
12,09502,32,72,1,6,1,2,730,370,17.0,6.0,76900.0
12,05707,58,31,2,9,22,1,370,620,21.0,1.0,70000.0
12,01111,57,62,1,6,1,2,370,999,21.0,6.0,52000.0
12,01111,48,60,2,6,1,2,370,999,16.0,1.0,10000.0
12,01111,57,21,2,6,1,1,370,999,19.0,6.0,0.0
12,01111,94,19,1,6,1,1,370,999,19.0,6.0,0.0
12,01901,377,49,2,6,1,1,615,370,22.0,1.0,13500.0
12,07106,70,61,1,9,1,2,370,999,14.0,1.0,80000.0
12,07106,74,62,2,9,1,2,370,999,14.0,1.0,35000.0
12,11704,109,42,1,9,1,1,902,370,21.0,1.0,59000.0
12,09905,142,7,1,9,1,1,370,335,4.0,,
12,09905,135,5,2,9,1,1,370,335,2.0,,
12,09502,168,61,1,9,1,2,370,999,14.0,1.0,62000.0
12,09502,151,56,2,9,1,2,370,999,15.0,6.0,0.0
12,01104,83,76,1,6,1,2,370,999,21.0,6.0,9100.0
12,08303,65,85,1,9,1,2,370,999,21.0,6.0,56800.0
12,08303,57,83,2,9,1,2,370,999,17.0,6.0,29200.0
12,10302,85,59,2,8,1,2,370,999,17.0,1.0,18000.0
12,09509,107,25,2,9,3,1,261,370,22.0,1.0,35000.0
12,01109,37,58,2,9,1,2,314,370,20.0,6.0,103000.0
12,09506,376,37,1,9,1,2,370,999,19.0,1.0,69000.0
12,09506,388,30,2,9,1,2,370,999,19.0,6.0,0.0
12,01117,382,68,2,8,1,2,370,999,18.0,6.0,55000.0
12,01117,417,72,1,8,1,2,370,999,16.0,6.0,31200.0
12,11702,176,66,1,9,1,2,370,999,22.0,6.0,215600.0
12,11702,97,65,2,9,1,2,370,999,19.0,6.0,33200.0
12,05707,125,33,1,9,1,1,370,022,22.0,1.0,220000.0
13,01303,42,19,2,9,1,1,902,370,16.0,1.0,197000.0
13,01602,59,38,2,2,1,1,370,314,22.0,1.0,95000.0
13,01602,69,6,2,2,1,1,370,314,4.0,,
13,01404,702,23,1,9,1,2,370,999,21.0,1.0,50000.0
13,01408,92,50,1,8,24,2,370,999,19.0,1.0,82200.0
13,01407,305,27,2,9,1,1,308,370,21.0,1.0,86040.0
13,01506,307,55,2,9,1,2,370,999,24.0,1.0,100000.0
13,01506,284,56,1,9,1,2,370,999,21.0,1.0,60000.0
13,01506,441,26,2,2,1,1,370,999,20.0,6.0,0.0
13,01301,50,48,1,9,1,2,370,999,9.0,1.0,36000.0
13,01301,63,52,2,9,1,2,370,999,11.0,1.0,4600.0
13,01301,88,18,1,9,1,2,370,999,15.0,3.0,1200.0
13,01501,92,57,2,9,1,1,022,370,21.0,3.0,6000.0
13,01607,70,66,1,9,1,2,370,999,16.0,1.0,30000.0
13,01607,71,31,2,9,1,2,370,999,21.0,1.0,60000.0
13,01506,510,61,2,2,1,2,370,999,21.0,1.0,30000.0
13,01200,202,27,2,2,1,2,370,999,20.0,6.0,0.0
13,01506,153,52,2,8,1,2,370,050,17.0,1.0,18500.0
13,01506,228,33,1,8,1,2,370,999,17.0,1.0,45000.0
13,01605,46,60,1,9,1,2,370,999,16.0,1.0,126000.0
13,01605,47,55,2,9,1,2,370,999,18.0,6.0,0.0
13,02302,74,62,2,9,1,2,370,329,24.0,1.0,48000.0
13,02302,69,66,1,9,1,2,370,999,17.0,1.0,40000.0
13,02302,107,26,2,2,1,1,370,999,21.0,1.0,18000.0
13,02302,75,80,2,9,1,2,903,370,20.0,6.0,21400.0
13,01502,134,38,2,2,1,1,308,370,21.0,1.0,76400.0
13,00601,93,46,2,6,1,2,615,370,21.0,3.0,0.0
13,01605,43,48,2,8,22,2,370,249,17.0,6.0,0.0
13,01605,69,54,1,8,22,2,370,249,20.0,6.0,131000.0
13,01607,66,59,2,9,1,2,370,999,19.0,1.0,31300.0
13,01607,92,25,2,9,1,1,370,939,16.0,1.0,32400.0
13,01607,86,22,1,2,1,1,370,939,16.0,1.0,33500.0
13,01502,109,46,2,9,1,2,370,999,15.0,1.0,26400.0
13,01607,160,48,1,2,1,2,370,939,22.0,1.0,100000.0
13,01501,176,27,2,9,1,1,370,999,22.0,1.0,53110.0
13,01404,215,35,1,8,1,2,370,999,21.0,1.0,122000.0
13,01304,60,59,1,9,1,2,370,999,21.0,1.0,81000.0
13,01408,49,67,1,2,1,2,370,999,19.0,6.0,4600.0
13,02202,295,23,1,2,1,1,370,999,20.0,1.0,18100.0
13,02202,270,15,1,2,1,1,329,370,13.0,,0.0
13,00500,78,25,1,9,1,1,370,022,18.0,1.0,38600.0
