orig_fips,dest_fips,returns
01069,01073,68
17031,01073,65
47037,01073,64
06037,01073,62
48201,01073,62
13215,01073,57
57005,01073,53
01123,01073,51
12057,01073,51
01047,01073,46
01095,01073,45
01001,01073,42
12033,01073,42
26163,01073,42
12011,01073,40
01077,01073,38
04013,01073,37
37119,01073,37
48113,01073,37
12095,01073,35
12031,01073,34
01049,01073,33
12086,01073,33
01033,01073,32
28049,01073,30
13063,01073,29
47065,01073,29
47187,01073,29
06073,01073,28
12091,01073,28
01083,01073,27
01133,01073,27
12005,01073,27
36061,01073,27
01109,01073,26
45079,01073,26
01031,01073,25
01093,01073,25
12099,01073,25
39035,01073,24
01091,01073,23
06059,01073,23
36047,01073,23
45045,01073,23
01119,01073,22
13097,01073,22
22033,01073,22
45019,01073,22
12073,01073,21
26125,01073,21
32003,01073,21
39049,01073,21
21111,01073,20
22051,01073,20
47093,01073,20
48439,01073,20
01099,01073,19
01131,01073,19
12019,01073,19
12117,01073,19
13115,01073,19
13151,01073,19
28047,01073,19
28089,01073,19
04019,01073,18
28121,01073,18
37133,01073,18
01087,01073,17
12009,01073,17
12113,01073,17
12131,01073,17
13051,01073,17
13059,01073,17
42003,01073,17
01045,01073,16
01107,01073,16
01113,01073,16
13045,01073,16
37067,01073,16
48085,01073,16
01105,01073,15
11001,01073,15
12071,01073,15
22071,01073,15
28075,01073,15
28105,01073,15
36081,01073,15
05119,01073,14
12069,01073,14
12127,01073,14
13021,01073,14
15003,01073,14
21067,01073,14
25025,01073,14
28059,01073,14
29095,01073,14
36005,01073,14
37183,01073,14
47149,01073,14
01025,01073,13
09009,01073,13
12103,01073,13
37051,01073,13
42101,01073,13
48027,01073,13
48029,01073,13
01037,01073,12
01053,01073,12
01059,01073,12
01071,01073,12
12001,01073,12
12105,01073,12
13245,01073,12
18003,01073,12
51810,01073,12
55079,01073,12
01057,01073,11
01065,01073,11
05143,01073,11
06071,01073,11
13057,01073,11
18097,01073,11
26099,01073,11
28035,01073,11
28137,01073,11
47125,01073,11
51059,01073,11
06085,01073,10
13077,01073,10
13117,01073,10
22017,01073,10
27053,01073,10
28081,01073,10
45063,01073,10
48121,01073,10
48453,01073,10
51013,01073,10
53033,01073,10
58000,01073,123
59000,01073,1843
59001,01073,202
59003,01073,403
59005,01073,995
59007,01073,243
57009,01073,22
96000,01075,204
97000,01075,204
97001,01075,107
97003,01075,97
98000,01075,-1
01075,01075,4420
01093,01075,29
28087,01075,29
01057,01075,19
01107,01075,11
01125,01075,10
58000,01075,38
59000,01075,68
96000,01077,1534
97000,01077,1534
97001,01077,867
97003,01077,667
98000,01077,-1
01077,01077,30014
01033,01077,410
01083,01077,72
01089,01077,65
47099,01077,52
01059,01077,51
01103,01077,43
01079,01077,39
01073,01077,25
47071,01077,19
47181,01077,19
01101,01077,18
01093,01077,15
47037,01077,15
01125,01077,13
47055,01077,12
01097,01077,11
01117,01077,11
47157,01077,11
01003,01077,10
47065,01077,10
58000,01077,84
59000,01077,529
59001,01077,20
59003,01077,101
59005,01077,334
59007,01077,74
96000,01079,539
97000,01079,539
97001,01079,416
97003,01079,123
98000,01079,-1
01079,01079,11095
01103,01079,236
01033,01079,40
01089,01079,23
01083,01079,21
01059,01079,19
01077,01079,18
01043,01079,16
58000,01079,43
59000,01079,123
96000,01081,4462
97000,01081,4418
97001,01081,2111
97003,01081,2307
98000,01081,44
01081,01081,40959
13215,01081,445
01113,01081,441
01123,01081,262
01017,01081,214
01087,01081,162
01101,01081,147
01073,01081,120
01051,01081,63
01117,01081,51
13285,01081,49
01089,01081,48
01003,01081,45
13121,01081,41
01097,01081,39
01111,01081,33
01015,01081,31
13145,01081,30
13089,01081,28
01125,01081,27
21093,01081,26
13067,01081,25
01069,01081,24
01055,01081,22
01095,01081,22
13135,01081,22
01121,01081,21
13077,01081,21
01005,01081,20
48027,01081,19
01109,01081,18
08041,01081,18
01001,01081,17
01031,01081,17
12095,01081,17
06037,01081,16
06073,01081,16
01077,01081,15
13053,01081,15
53053,01081,15
01115,01081,14
12031,01081,14
17031,01081,14
01037,01081,13
01039,01081,13
01047,01081,13
01049,01081,13
12005,01081,13
13063,01081,13
15003,01081,13
04013,01081,12
12033,01081,12
13151,01081,12
48141,01081,12
01021,01081,11
01103,01081,11
12001,01081,11
12091,01081,11
13113,01081,11
37051,01081,11
01027,01081,10
01045,01081,10
12086,01081,10
13021,01081,10
20161,01081,10
53067,01081,10
58000,01081,144
59000,01081,1305
59001,01081,124
59003,01081,208
59005,01081,828
59007,01081,145
57009,01081,44
96000,01083,2333
97000,01083,2313
97001,01083,1501
97003,01083,812
98000,01083,20
01083,01083,26876
01089,01083,911
01103,01083,201
01077,01083,92
47055,01083,63
01073,01083,42
01079,01083,21
01101,01083,20
47103,01083,20
01033,01083,17
01003,01083,14
47125,01083,14
01043,01083,13
01117,01083,13
28137,01083,13
01071,01083,12
01081,01083,11
01095,01083,11
47157,01083,10
48027,01083,10
58000,01083,123
59000,01083,682
59001,01083,38
59003,01083,135
59005,01083,428
59007,01083,81
57009,01083,20
96000,01085,286
97000,01085,286
97001,01085,232
97003,01085,54
98000,01085,-1
01085,01085,4031
01101,01085,132
01047,01085,16
01013,01085,15
01051,01085,14
58000,01085,55
59000,01085,54
96000,01087,465
97000,01087,465
97001,01087,306
97003,01087,159
98000,01087,-1
01087,01087,6570
01081,01087,95
01101,01087,82
01051,01087,19
01123,01087,17
01011,01087,16
13089,01087,12
13121,01087,11
01073,01087,10
58000,01087,67
59000,01087,136
59001,01087,13
59003,01087,20
59005,01087,87
59007,01087,16
96000,01089,7695
97000,01089,7535
97001,01089,2842
97003,01089,4693
98000,01089,160
01089,01089,118081
01083,01089,522
01103,01089,431
01073,01089,280
01095,01089,231
47103,01089,138
57005,01089,135
01077,01089,126
01071,01089,103
01101,01089,95
01125,01089,88
01043,01089,83
51059,01089,81
01081,01089,77
47037,01089,72
01117,01089,69
01097,01089,65
01055,01089,59
13121,01089,59
47125,01089,54
47157,01089,54
13067,01089,50
51153,01089,50
01033,01089,48
17031,01089,46
06037,01089,43
04013,01089,41
13089,01089,40
01015,01089,39
12095,01089,38
48141,01089,38
01079,01089,37
08041,01089,36
12057,01089,36
48027,01089,35
12009,01089,34
12086,01089,34
01003,01089,33
47065,01089,33
47149,01089,33
48201,01089,33
01031,01089,31
01049,01089,31
01069,01089,31
06073,01089,31
01045,01089,30
47055,01089,30
47093,01089,30
12031,01089,29
26163,01089,29
13135,01089,28
29189,01089,27
37051,01089,27
48029,01089,26
48439,01089,26
12033,01089,25
15003,01089,25
01009,01089,22
01059,01089,22
12091,01089,22
13215,01089,22
01051,01089,21
12005,01089,20
32003,01089,20
47051,01089,20
01001,01089,19
01115,01089,19
01121,01089,19
12011,01089,19
39035,01089,19
12103,01089,18
22103,01089,18
37133,01089,18
51700,01089,18
53033,01089,18
04019,01089,17
12071,01089,17
13063,01089,17
18097,01089,17
21093,01089,17
01047,01089,16
12099,01089,16
13153,01089,16
24025,01089,16
40031,01089,16
06059,01089,15
06065,01089,15
06071,01089,15
13151,01089,15
21047,01089,15
22051,01089,15
24003,01089,15
24031,01089,15
26099,01089,15
28137,01089,15
45045,01089,15
47031,01089,15
48113,01089,15
01113,01089,14
12127,01089,14
17163,01089,14
21067,01089,14
26125,01089,14
47119,01089,14
47187,01089,14
48037,01089,14
53053,01089,14
13051,01089,13
17161,01089,13
19163,01089,13
24033,01089,13
25027,01089,13
28049,01089,13
37119,01089,13
37183,01089,13
45079,01089,13
51013,01089,13
51179,01089,13
04003,01089,12
13097,01089,12
13179,01089,12
20061,01089,12
21111,01089,12
28033,01089,12
28059,01089,12
28081,01089,12
28121,01089,12
35001,01089,12
36045,01089,12
01127,01089,11
02020,01089,11
12083,01089,11
12101,01089,11
12117,01089,11
22071,01089,11
25017,01089,11
28047,01089,11
29183,01089,11
