orig_fips,dest_fips,returns
24045,12011,22
24047,12011,26
24047,36081,32
24510,12011,118
24510,34013,58
24510,36047,180
24510,36081,94
25001,12011,90
25001,36047,60
25001,36081,36
25003,12011,32
25003,36047,64
25003,36081,24
25005,12011,130
25005,36047,74
25005,36081,38
25009,12011,210
25009,34013,38
25009,36047,200
25009,36081,132
25013,12011,104
25013,36047,98
25013,36081,64
25015,12011,22
25015,36047,126
25015,36081,54
25017,12011,396
25017,34013,80
25017,36047,802
25017,36081,372
25017,36093,30
25021,12011,166
25021,34013,44
25021,36047,262
25021,36081,146
25023,12011,106
25023,36047,82
25023,36081,38
25025,12011,312
25025,34013,84
25025,36047,668
25025,36081,296
25027,12011,150
25027,34013,44
25027,36047,128
25027,36081,80
25027,36093,24
26049,12011,48
26065,12011,26
26065,36047,46
26065,36081,22
26077,12011,24
26077,36047,20
26081,12011,64
26081,36047,40
26081,36081,20
26099,12011,98
26099,36047,40
26099,36081,42
26125,12011,188
26125,34013,20
26125,36047,190
26125,36081,84
26145,12011,26
26147,12011,22
26161,12011,52
26161,34013,20
26161,36047,104
26161,36081,56
26163,12011,242
26163,34013,24
26163,36047,150
26163,36081,88
27003,12011,26
27019,12011,24
27037,12011,34
27037,36047,36
27037,36081,22
27053,12011,148
27053,36047,252
27053,36081,146
27123,12011,34
27123,36047,78
27123,36081,22
28033,12011,30
28047,12011,48
28049,12011,30
28059,12011,28
28089,12011,20
28121,12011,26
29047,12011,20
29077,12011,34
29095,12011,98
29095,36047,74
29095,36081,34
29183,12011,26
29183,36047,22
29189,12011,144
29189,34013,22
29189,36047,112
29189,36081,50
29510,12011,34
29510,36047,68
29510,36081,20
31055,12011,54
31055,36047,48
31055,36081,24
31109,12011,20
31109,36047,38
32003,12011,434
32003,34013,58
32003,36047,230
32003,36081,198
32031,12011,46
32031,36047,24
32031,36081,30
33005,36047,20
33009,36047,38
33009,36081,20
33011,12011,98
33011,36047,76
33011,36081,36
33013,12011,46
33013,36047,30
33015,12011,86
33015,36047,64
33015,36081,22
33017,36047,22
34001,12011,174
34001,34013,76
34001,36047,102
34001,36081,100
34003,12011,446
34003,34013,1896
34003,36047,806
34003,36081,1024
34005,12011,158
34005,34013,172
34005,36047,154
34005,36081,110
34007,12011,132
34007,34013,96
34007,36047,122
34007,36081,106
34009,12011,46
34009,34013,10
34009,36047,30
34011,12011,28
34011,34013,24
34011,36047,28
34011,36081,20
34013,04013,94
34013,06001,48
34013,06037,192
34013,06059,42
34013,06073,94
34013,06075,40
34013,06081,20
34013,06085,26
34013,08031,44
34013,09001,108
34013,09003,62
34013,09009,84
34013,10001,26
34013,10003,80
34013,10005,22
34013,11001,156
34013,12009,30
34013,12011,358
34013,12021,28
34013,12031,66
34013,12057,248
34013,12071,58
34013,12081,20
34013,12083,36
34013,12086,294
34013,12095,170
34013,12097,44
34013,12099,206
34013,12101,28
34013,12103,48
34013,12105,60
34013,12111,50
34013,12115,24
34013,12117,36
34013,12127,22
34013,13051,24
34013,13063,52
34013,13067,82
34013,13089,126
34013,13121,124
34013,13135,126
34013,13151,38
34013,13247,20
34013,15003,20
34013,17031,96
34013,17097,20
34013,24003,24
34013,24005,42
34013,24025,32
34013,24031,106
34013,24033,76
34013,24510,62
34013,25009,20
34013,25013,30
34013,25017,126
34013,25021,26
34013,25025,116
34013,25027,28
34013,26161,20
34013,26163,22
34013,27053,26
34013,29189,24
34013,32003,70
34013,34001,102
34013,34003,1950
34013,34005,240
34013,34007,138
34013,34009,13
34013,34011,26
34013,34013,538466
34013,34015,44
34013,34017,3090
34013,34019,82
34013,34021,230
34013,34023,1856
34013,34025,572
34013,34027,2098
34013,34029,560
34013,34031,1922
34013,34035,638
34013,34037,234
34013,34039,5270
34013,34041,162
34013,36001,36
34013,36005,514
34013,36029,36
34013,36047,908
34013,36055,34
34013,36059,94
34013,36061,1500
34013,36071,56
34013,36081,552
34013,36085,100
34013,36087,82
34013,36103,132
34013,36119,142
34013,37051,54
34013,37063,44
34013,37067,24
34013,37081,62
34013,37119,156
34013,37127,28
34013,37133,24
34013,37147,26
34013,37183,148
34013,39035,48
34013,39049,56
34013,41051,22
34013,42003,68
34013,42011,60
34013,42017,78
34013,42029,30
34013,42043,24
34013,42045,54
34013,42069,34
34013,42071,30
