state,county,tract,geoid,estimate,moe,state_abbr
36,047,014000,36047014000,0.0,13.0,NY
36,047,014101,36047014101,0.0,13.0,NY
36,047,014102,36047014102,6.0,9.0,NY
36,047,014200,36047014200,0.0,13.0,NY
36,047,014300,36047014300,124.0,171.0,NY
36,047,014500,36047014500,20.0,35.0,NY
36,047,014700,36047014700,0.0,13.0,NY
36,047,014800,36047014800,0.0,13.0,NY
36,047,014901,36047014901,21.0,23.0,NY
36,047,014902,36047014902,0.0,13.0,NY
36,047,015000,36047015000,0.0,13.0,NY
36,047,015100,36047015100,0.0,13.0,NY
36,047,015200,36047015200,9.0,18.0,NY
36,047,015300,36047015300,0.0,13.0,NY
36,047,015400,36047015400,0.0,13.0,NY
36,047,015500,36047015500,0.0,13.0,NY
36,047,015700,36047015700,35.0,55.0,NY
36,047,015900,36047015900,0.0,19.0,NY
36,047,016000,36047016000,0.0,13.0,NY
36,047,016100,36047016100,0.0,13.0,NY
36,047,016200,36047016200,0.0,13.0,NY
36,047,016300,36047016300,0.0,13.0,NY
36,047,016400,36047016400,0.0,13.0,NY
36,047,016500,36047016500,0.0,19.0,NY
36,047,016600,36047016600,0.0,13.0,NY
36,047,016700,36047016700,0.0,13.0,NY
36,047,016800,36047016800,0.0,13.0,NY
36,047,016900,36047016900,0.0,13.0,NY
36,047,017000,36047017000,0.0,13.0,NY
36,047,017100,36047017100,0.0,13.0,NY
36,047,017200,36047017200,0.0,13.0,NY
36,047,017400,36047017400,0.0,13.0,NY
36,047,017500,36047017500,0.0,13.0,NY
36,047,017600,36047017600,19.0,31.0,NY
36,047,017700,36047017700,0.0,13.0,NY
36,047,017800,36047017800,0.0,13.0,NY
36,047,017900,36047017900,14.0,24.0,NY
36,047,018000,36047018000,0.0,13.0,NY
36,047,018100,36047018100,0.0,13.0,NY
36,047,018200,36047018200,0.0,13.0,NY
36,047,018300,36047018300,13.0,20.0,NY
36,047,018400,36047018400,20.0,30.0,NY
36,047,018501,36047018501,12.0,19.0,NY
36,047,018600,36047018600,0.0,13.0,NY
36,047,018700,36047018700,10.0,34.0,NY
36,047,018800,36047018800,28.0,46.0,NY
36,047,019000,36047019000,8.0,13.0,NY
36,047,019100,36047019100,0.0,13.0,NY
36,047,019200,36047019200,0.0,13.0,NY
36,047,019300,36047019300,0.0,19.0,NY
36,047,019400,36047019400,11.0,18.0,NY
36,047,019500,36047019500,38.0,44.0,NY
36,047,019600,36047019600,0.0,13.0,NY
36,047,019700,36047019700,1.0,2.0,NY
36,047,019800,36047019800,0.0,13.0,NY
36,047,019900,36047019900,64.0,102.0,NY
36,047,020000,36047020000,0.0,13.0,NY
36,047,020100,36047020100,0.0,13.0,NY
36,047,020200,36047020200,0.0,13.0,NY
36,047,020300,36047020300,0.0,13.0,NY
36,047,020400,36047020400,0.0,13.0,NY
36,047,020500,36047020500,0.0,13.0,NY
36,047,020600,36047020600,0.0,13.0,NY
36,047,020700,36047020700,0.0,13.0,NY
36,047,020800,36047020800,27.0,44.0,NY
36,047,021000,36047021000,0.0,13.0,NY
36,047,021100,36047021100,45.0,35.0,NY
36,047,021200,36047021200,0.0,13.0,NY
36,047,021300,36047021300,116.0,103.0,NY
36,047,021400,36047021400,0.0,13.0,NY
36,047,021500,36047021500,0.0,19.0,NY
36,047,021600,36047021600,0.0,13.0,NY
36,047,021700,36047021700,97.0,105.0,NY
36,047,021800,36047021800,0.0,13.0,NY
36,047,021900,36047021900,6.0,10.0,NY
36,047,022000,36047022000,0.0,19.0,NY
36,047,022100,36047022100,0.0,13.0,NY
36,047,022200,36047022200,0.0,13.0,NY
36,047,022400,36047022400,0.0,19.0,NY
36,047,022600,36047022600,85.0,137.0,NY
36,047,022700,36047022700,91.0,129.0,NY
36,047,022800,36047022800,0.0,13.0,NY
36,047,022900,36047022900,49.0,78.0,NY
36,047,023000,36047023000,0.0,13.0,NY
36,047,023100,36047023100,28.0,33.0,NY
36,047,023200,36047023200,41.0,68.0,NY
36,047,023300,36047023300,0.0,19.0,NY
36,047,023400,36047023400,0.0,19.0,NY
36,047,023500,36047023500,49.0,79.0,NY
36,047,023600,36047023600,0.0,19.0,NY
36,047,023800,36047023800,0.0,19.0,NY
36,047,024000,36047024000,0.0,19.0,NY
36,047,024100,36047024100,0.0,13.0,NY
36,047,024200,36047024200,0.0,13.0,NY
36,047,024300,36047024300,110.0,176.0,NY
36,047,024400,36047024400,0.0,13.0,NY
36,047,024500,36047024500,0.0,13.0,NY
36,047,024600,36047024600,0.0,13.0,NY
36,047,024700,36047024700,19.0,29.0,NY
36,047,024800,36047024800,0.0,13.0,NY
36,047,024900,36047024900,0.0,13.0,NY
36,047,025000,36047025000,0.0,13.0,NY
36,047,025100,36047025100,0.0,13.0,NY
36,047,025200,36047025200,0.0,13.0,NY
36,047,025300,36047025300,16.0,24.0,NY
36,047,025400,36047025400,0.0,13.0,NY
36,047,025500,36047025500,0.0,13.0,NY
36,047,025600,36047025600,37.0,60.0,NY
36,047,025700,36047025700,28.0,45.0,NY
36,047,025800,36047025800,0.0,13.0,NY
36,047,025901,36047025901,27.0,31.0,NY
36,047,025902,36047025902,0.0,13.0,NY
36,047,026000,36047026000,0.0,13.0,NY
36,047,026100,36047026100,27.0,44.0,NY
36,047,026200,36047026200,0.0,13.0,NY
36,047,026300,36047026300,31.0,50.0,NY
36,047,026400,36047026400,0.0,13.0,NY
36,047,026500,36047026500,122.0,145.0,NY
36,047,026600,36047026600,0.0,13.0,NY
36,047,026700,36047026700,12.0,19.0,NY
36,047,026800,36047026800,0.0,13.0,NY
36,047,026900,36047026900,0.0,13.0,NY
36,047,027000,36047027000,0.0,13.0,NY
36,047,027100,36047027100,104.0,167.0,NY
36,047,027200,36047027200,0.0,13.0,NY
36,047,027300,36047027300,0.0,13.0,NY
36,047,027400,36047027400,0.0,13.0,NY
